cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_logr,tf10,tf11,tf12
2013-01-02,1462.420000,-0.208600,2.076800,1.032900,0.746000,0.501600,0.377200,0.187600,0.232800,0.121500,0.300000,0.100000,-0.128859,0.479878,0.477064,0.478916,0.491703
2013-01-03,1459.370000,0.486500,1.135600,1.309600,0.717700,0.551600,0.380900,0.291800,0.137000,0.182800,0.400000,0.100000,-0.096908,0.497617,0.499440,0.499232,0.504644
2013-01-04,1466.470000,-0.312300,0.138400,0.917900,1.101400,0.670200,0.540100,0.395900,0.316300,0.176400,0.500000,0.100000,0.025576,0.533199,0.532342,0.534663,0.538539
2013-01-07,1461.890000,-0.324200,0.086100,-0.012100,0.610200,0.817200,0.504600,0.416600,0.305900,0.245200,0.100000,0.100000,-0.076025,0.495999,0.498458,0.492484,0.504891
2013-01-08,1457.150000,0.265600,-0.319300,-0.050600,-0.090200,0.423700,0.626600,0.385300,0.323000,0.235000,0.200000,0.100000,-0.029415,0.499310,0.496801,0.497671,0.496265
2013-01-09,1461.020000,0.759700,-0.029800,-0.124400,0.028200,-0.019200,0.397200,0.574700,0.370100,0.316500,0.300000,0.100000,-0.072106,0.473005,0.476037,0.481130,0.472425
2013-01-10,1472.120000,-0.004800,0.510400,0.233000,0.096500,0.174200,0.110500,0.448500,0.597300,0.413300,0.400000,0.100000,-0.141246,0.458033,0.461004,0.455750,0.442697
2013-01-11,1472.050000,-0.093100,0.374600,0.338200,0.173300,0.076200,0.144200,0.094000,0.391500,0.529900,0.500000,0.100000,-0.000160,0.499767,0.493911,0.497921,0.498379
2013-01-14,1470.680100,0.112900,-0.048900,0.218800,0.230300,0.119900,0.047900,0.110200,0.070500,0.337500,0.100000,0.100000,0.017771,0.496624,0.498284,0.498551,0.485270
2013-01-15,1472.340000,0.019700,0.009900,0.005000,0.192300,0.206700,0.118700,0.057200,0.110500,0.075200,0.200000,0.100000,0.025371,0.512801,0.511868,0.510876,0.518385
2013-01-16,1472.630000,0.564300,0.066200,0.013100,0.008700,0.157700,0.175500,0.104500,0.052500,0.100400,0.300000,0.100000,-0.014378,0.509905,0.509923,0.510204,0.519990
2013-01-17,1480.939900,0.340300,0.291200,0.231800,0.150800,0.119700,0.225300,0.230900,0.162000,0.109400,0.400000,0.100000,-0.035760,0.503100,0.503640,0.505590,0.513983
2013-01-18,1485.980000,0.442800,0.450000,0.307200,0.258800,0.188700,0.156500,0.241700,0.244600,0.181900,0.500000,0.100000,-0.065583,0.499921,0.501081,0.500678,0.515321
2013-01-22,1492.560100,0.150700,0.390100,0.446900,0.340900,0.295500,0.231100,0.197500,0.266900,0.266600,0.200000,0.100000,-0.019389,0.493102,0.492048,0.491717,0.481335
2013-01-23,1494.810100,0.000700,0.295600,0.310100,0.372500,0.302500,0.271100,0.219500,0.191600,0.253800,0.300000,0.100000,-0.023528,0.502696,0.502420,0.503585,0.508404
2013-01-24,1494.819900,0.544500,0.075600,0.197200,0.232600,0.297900,0.252000,0.232200,0.191900,0.170200,0.400000,0.100000,-0.033117,0.509222,0.509903,0.509135,0.523775
2013-01-25,1502.960000,-0.185000,0.271900,0.231500,0.283700,0.294700,0.338800,0.293700,0.271300,0.231200,0.500000,0.100000,-0.050723,0.506648,0.506015,0.507576,0.526281
2013-01-28,1500.180100,0.510600,0.178500,0.119400,0.127200,0.189700,0.214500,0.263600,0.233500,0.220200,0.100000,0.100000,-0.035604,0.483095,0.484391,0.483523,0.465815
2013-01-29,1507.840000,-0.390000,0.162200,0.288600,0.217000,0.203700,0.243100,0.256700,0.294400,0.264300,0.200000,0.100000,-0.015549,0.490532,0.490089,0.490462,0.477025
2013-01-30,1501.960000,-0.256300,0.059100,-0.022200,0.118700,0.095200,0.104400,0.152300,0.175400,0.217900,0.300000,0.100000,-0.010379,0.501267,0.501494,0.501941,0.506265
2013-01-31,1498.110000,1.005300,-0.324300,-0.045900,-0.080700,0.043800,0.036600,0.052900,0.101100,0.127400,0.400000,0.100000,0.021527,0.518647,0.518471,0.517695,0.528977
2013-02-01,1513.170000,-1.153900,0.372300,0.118100,0.215700,0.135700,0.203300,0.174500,0.171600,0.201300,0.500000,0.200000,-0.031273,0.508808,0.507769,0.510735,0.530109
2013-02-04,1495.710000,1.041700,-0.079800,-0.138700,-0.201900,-0.059500,-0.080400,0.008500,0.007500,0.023300,0.100000,0.200000,0.010079,0.497423,0.499340,0.496800,0.491074
2013-02-05,1511.290000,0.054900,-0.062500,0.291600,0.155000,0.045900,0.123100,0.079100,0.136900,0.121800,0.200000,0.200000,0.060911,0.510083,0.508277,0.510454,0.505397
2013-02-06,1512.120000,-0.180500,0.542800,-0.023200,0.232300,0.134900,0.047400,0.113300,0.076100,0.127700,0.300000,0.200000,-0.049351,0.497235,0.498950,0.498522,0.509809
2013-02-07,1509.390000,0.565800,-0.062900,0.301800,-0.062700,0.149600,0.082200,0.014700,0.076400,0.047500,0.400000,0.200000,0.011796,0.519793,0.518892,0.516777,0.525945
2013-02-08,1517.930100,-0.060600,0.191900,0.146300,0.367200,0.063100,0.218800,0.151300,0.083700,0.130800,0.500000,0.200000,0.026349,0.523572,0.522095,0.528562,0.549956
2013-02-11,1517.010000,0.159500,0.251100,0.107600,0.094400,0.281500,0.042400,0.178700,0.124600,0.067500,0.100000,0.200000,-0.067497,0.485187,0.489781,0.482634,0.473588
2013-02-12,1519.430100,0.059200,0.049400,0.220400,0.120600,0.107400,0.261000,0.059200,0.176300,0.128500,0.200000,0.200000,0.067472,0.513207,0.508085,0.512230,0.505944
2013-02-13,1520.330000,0.069100,0.109200,0.052700,0.180100,0.108300,0.099400,0.232100,0.059200,0.163200,0.300000,0.200000,-0.041731,0.497849,0.502088,0.501945,0.507896
2013-02-14,1521.380000,-0.104500,0.064100,0.095800,0.056800,0.157800,0.101700,0.095000,0.211600,0.060300,0.400000,0.200000,-0.002270,0.511996,0.510836,0.508824,0.521528
2013-02-15,1519.790000,0.733600,-0.017800,0.007900,0.045700,0.024500,0.114100,0.072200,0.070000,0.176400,0.500000,0.200000,0.012589,0.520507,0.519267,0.522502,0.540918
2013-02-19,1530.939900,-1.240400,0.313400,0.232100,0.188900,0.183000,0.142500,0.202400,0.154800,0.143800,0.200000,0.200000,-0.036259,0.491386,0.493286,0.491991,0.484962
2013-02-20,1511.950000,-0.630300,-0.257700,-0.206700,-0.137700,-0.098400,-0.055500,-0.056200,0.021100,-0.001200,0.300000,0.200000,0.058290,0.520416,0.519285,0.519737,0.530891
2013-02-21,1502.420000,0.877200,-0.946100,-0.382200,-0.312600,-0.236100,-0.186800,-0.137300,-0.127700,-0.051000,0.400000,0.200000,0.109508,0.541858,0.542358,0.542599,0.549002
2013-02-22,1515.600000,-1.831000,0.120900,-0.338600,-0.069100,-0.076200,-0.052000,-0.036100,-0.011600,-0.017100,0.500000,0.200000,0.002077,0.522499,0.522136,0.523345,0.550426
2013-02-25,1487.850000,0.610900,-0.485100,-0.534900,-0.716000,-0.423100,-0.369700,-0.306700,-0.260800,-0.213900,0.100000,0.200000,0.079694,0.517607,0.518500,0.516294,0.529959
2013-02-26,1496.939900,1.272600,-0.625200,-0.121800,-0.250000,-0.452400,-0.252600,-0.231300,-0.193500,-0.165300,0.200000,0.200000,0.164365,0.535623,0.534363,0.538621,0.551395
2013-02-27,1515.990000,-0.086400,0.934000,0.008700,0.225600,0.053700,-0.165500,-0.036000,-0.044600,-0.031900,0.300000,0.200000,-0.064748,0.497078,0.499968,0.497351,0.514953
2013-02-28,1514.680100,0.232400,0.585400,0.592600,-0.015300,0.162800,0.030200,-0.154200,-0.042300,-0.049300,0.400000,0.200000,0.000036,0.521614,0.518767,0.517254,0.518615
