cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_logr,tf10
2001-01-02,1283.270000,5.009900,-1.956900,-1.159300,-0.606100,-0.344600,0.106600,0.202200,-0.214100,-0.336400,0.020000,0.010000,0.092371,0.493101,0.492607
2001-01-03,1347.560100,-1.055200,1.036900,0.337600,0.352700,0.489400,0.524800,0.787200,0.788000,0.356300,0.030000,0.010000,0.049814,0.472042,0.477089
2001-01-04,1333.340000,-2.624200,1.867700,0.329400,-0.016700,0.066800,0.228400,0.295700,0.553300,0.579200,0.040000,0.010000,0.104432,0.490832,0.494276
2001-01-05,1298.350000,-0.191800,-1.869900,0.379000,-0.416700,-0.544900,-0.386100,-0.182100,-0.072000,0.197900,0.050000,0.010000,-0.116633,0.433887,0.432221
2001-01-08,1295.860000,0.381200,-1.444800,-1.316300,0.238700,-0.372300,-0.486900,-0.358800,-0.183400,-0.085100,0.010000,0.010000,-0.053530,0.538802,0.540796
2001-01-09,1300.800000,0.958600,0.094400,-0.835400,-0.894400,0.266600,-0.247900,-0.364100,-0.267500,-0.121500,0.020000,0.010000,0.288275,0.561108,0.561011
2001-01-10,1313.270000,1.031800,0.666000,0.381600,-0.385300,-0.524200,0.380300,-0.076400,-0.199700,-0.132300,0.030000,0.010000,0.157667,0.477286,0.479715
2001-01-11,1326.819900,-0.623300,0.985600,0.785600,0.543700,-0.099800,-0.263600,0.472500,0.062300,-0.062600,0.040000,0.010000,0.009918,0.500361,0.497616
2001-01-12,1318.550000,0.614300,0.199600,0.448400,0.431400,0.308100,-0.188300,-0.315800,0.334900,-0.014600,0.050000,0.010000,-0.073924,0.499570,0.511011
2001-01-16,1326.650000,0.212600,-0.006400,0.336900,0.489100,0.467500,0.359000,-0.072900,-0.198900,0.365700,0.020000,0.010000,0.094027,0.519753,0.515186
2001-01-17,1329.470000,1.391500,0.411100,0.066700,0.305600,0.433400,0.424600,0.337800,-0.036800,-0.152700,0.030000,0.010000,0.147685,0.524680,0.525255
2001-01-18,1347.970000,-0.402800,0.796300,0.734700,0.397400,0.521800,0.592400,0.562500,0.469900,0.123400,0.040000,0.010000,0.060530,0.474039,0.478845
2001-01-19,1342.540000,0.026800,0.485800,0.395300,0.448700,0.235900,0.366200,0.448600,0.440100,0.371300,0.050000,0.010000,-0.014026,0.477759,0.480652
2001-01-22,1342.900000,1.303100,-0.188800,0.333000,0.303000,0.364000,0.200800,0.317400,0.395400,0.393700,0.010000,0.010000,0.007028,0.472230,0.472277
2001-01-23,1360.400000,0.286700,0.660700,0.307200,0.573400,0.502000,0.519900,0.358400,0.440700,0.496300,0.020000,0.010000,0.044195,0.491763,0.493591
2001-01-24,1364.300000,-0.497700,0.785400,0.535000,0.301800,0.515400,0.465500,0.486000,0.349200,0.423100,0.030000,0.010000,0.097206,0.488729,0.487706
2001-01-25,1357.510000,-0.188600,-0.106200,0.357900,0.275900,0.141000,0.345500,0.326700,0.361700,0.253800,0.040000,0.010000,-0.021059,0.464866,0.468287
2001-01-26,1354.950000,0.680500,-0.344700,-0.133700,0.221600,0.183000,0.085900,0.269000,0.262000,0.300200,0.050000,0.010000,-0.018364,0.494636,0.495822
2001-01-29,1364.170000,0.700800,0.244900,-0.003200,0.069300,0.312700,0.265600,0.170800,0.320300,0.308400,0.010000,0.010000,0.088529,0.493426,0.495465
2001-01-30,1373.730000,-0.562000,0.685900,0.396300,0.173000,0.195600,0.377100,0.327700,0.237200,0.362500,0.020000,0.010000,0.097897,0.485470,0.484525
2001-01-31,1366.010000,0.546100,0.067200,0.269500,0.155700,0.025100,0.068600,0.242200,0.215600,0.147500,0.030000,0.010000,0.017627,0.481317,0.482549
2001-02-01,1373.470000,-1.747400,-0.009500,0.226100,0.338100,0.233600,0.112000,0.136800,0.280100,0.252300,0.040000,0.020000,-0.020039,0.489155,0.491996
2001-02-02,1349.470000,0.358700,-0.607400,-0.593300,-0.269100,-0.080300,-0.098300,-0.155500,-0.100200,0.053600,0.050000,0.020000,0.056565,0.518014,0.519361
2001-02-05,1354.310100,-0.151400,-0.708600,-0.287000,-0.356800,-0.144600,-0.007800,-0.033600,-0.091700,-0.049700,0.010000,0.020000,0.096253,0.491727,0.491141
2001-02-06,1352.260000,-0.840800,0.103100,-0.522900,-0.253200,-0.315900,-0.145800,-0.028200,-0.048200,-0.098300,0.020000,0.020000,0.103335,0.515649,0.517127
2001-02-07,1340.890000,-0.623500,-0.498300,-0.212000,-0.603700,-0.371000,-0.403600,-0.244800,-0.129300,-0.135900,0.030000,0.020000,0.073813,0.495504,0.496661
2001-02-08,1332.530000,-1.333600,-0.738000,-0.541000,-0.314900,-0.608400,-0.413200,-0.435100,-0.291800,-0.183700,0.040000,0.020000,0.012060,0.511011,0.513524
