cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_logr,tf10,tf11,tf12
2015-01-02,2058.200000,-1.827800,-0.538000,-0.522300,-0.368800,-0.228200,-0.192400,-0.139900,-0.074900,-0.016200,0.500000,0.100000,0.041470,0.533439,0.533165,0.530252,0.554552
2015-01-05,2020.580000,-0.889300,-0.939500,-0.973800,-0.851700,-0.661500,-0.494500,-0.425400,-0.350000,-0.268600,0.100000,0.100000,0.141827,0.530401,0.530204,0.535507,0.547957
2015-01-06,2002.610000,1.163000,-1.381700,-0.925600,-0.955000,-0.860600,-0.699900,-0.550500,-0.482700,-0.409000,0.200000,0.100000,0.200977,0.549900,0.550765,0.553636,0.574843
2015-01-07,2025.900000,1.788800,0.132100,-0.534000,-0.407000,-0.535600,-0.528100,-0.438500,-0.340800,-0.304000,0.300000,0.100000,0.066894,0.525586,0.525571,0.526444,0.530320
2015-01-08,2062.139900,-0.840400,1.456200,0.682400,0.048600,0.031900,-0.148900,-0.198700,-0.162400,-0.106800,0.400000,0.100000,-0.096395,0.503389,0.503259,0.502303,0.506406
2015-01-09,2044.810100,-0.809400,0.460400,0.688100,0.297800,-0.131800,-0.115400,-0.249000,-0.279800,-0.238300,0.500000,0.100000,0.087315,0.548935,0.547184,0.545192,0.557590
2015-01-12,2028.260000,-0.257900,-0.831800,0.038500,0.314300,0.075600,-0.245700,-0.215100,-0.319500,-0.339000,0.100000,0.100000,0.161238,0.551462,0.555069,0.558181,0.549327
2015-01-13,2023.030000,-0.581300,-0.537600,-0.641600,-0.035200,0.200500,0.020100,-0.247500,-0.220500,-0.312800,0.200000,0.100000,0.104224,0.552045,0.549953,0.553765,0.568303
2015-01-14,2011.270000,-0.924800,-0.421100,-0.553200,-0.627500,-0.143900,0.071000,-0.065600,-0.289400,-0.260600,0.300000,0.100000,0.007746,0.529241,0.530447,0.532179,0.527649
2015-01-15,1992.670000,1.342400,-0.758300,-0.590500,-0.647300,-0.687800,-0.273200,-0.070100,-0.172400,-0.359800,0.400000,0.100000,0.092453,0.526657,0.529280,0.528441,0.528713
2015-01-16,2019.420000,0.155000,0.203100,-0.059900,-0.109900,-0.252000,-0.352500,-0.045700,0.103700,-0.006400,0.500000,0.100000,-0.026964,0.504112,0.506517,0.502142,0.542883
2015-01-20,2022.550000,0.473200,0.739200,0.186900,-0.006000,-0.056700,-0.184000,-0.279900,-0.020700,0.109400,0.200000,0.100000,0.014686,0.506627,0.502507,0.506561,0.517951
2015-01-21,2032.120000,1.527000,0.313200,0.649500,0.258500,0.090200,0.031900,-0.089800,-0.185600,0.034100,0.300000,0.100000,0.036188,0.528049,0.527773,0.528937,0.536565
2015-01-22,2063.149900,-0.549200,0.991400,0.714800,0.866100,0.512100,0.330400,0.246300,0.113300,0.005500,0.400000,0.100000,-0.056145,0.511237,0.512584,0.511063,0.530751
2015-01-23,2051.820100,0.256800,0.478700,0.476200,0.396600,0.580500,0.332900,0.202800,0.145300,0.038400,0.500000,0.100000,-0.083419,0.519909,0.520527,0.517372,0.535025
2015-01-26,2057.090100,-1.338800,-0.147500,0.404600,0.421000,0.368300,0.526000,0.321800,0.209600,0.157800,0.100000,0.100000,0.055388,0.511825,0.510289,0.516596,0.494470
2015-01-27,2029.550000,-1.349600,-0.544900,-0.547400,-0.031300,0.068400,0.082700,0.258300,0.112400,0.035700,0.200000,0.100000,-0.007933,0.501117,0.505746,0.507084,0.522909
2015-01-28,2002.160000,0.953500,-1.362500,-0.815600,-0.749200,-0.293600,-0.166600,-0.121100,0.058300,-0.049900,0.300000,0.100000,0.106593,0.532288,0.530826,0.532701,0.545176
2015-01-29,2021.250000,-1.299200,-0.206300,-0.592100,-0.376900,-0.412300,-0.088900,-0.009100,0.011200,0.156200,0.400000,0.100000,0.025915,0.509398,0.508377,0.508073,0.527285
2015-01-30,1994.990000,1.296200,-0.178500,-0.574200,-0.771600,-0.562400,-0.560700,-0.261100,-0.169600,-0.133700,0.500000,0.100000,-0.024051,0.512284,0.515238,0.510983,0.532500
2015-02-02,2020.850000,1.443900,-0.010000,0.309600,-0.108200,-0.359900,-0.255400,-0.298400,-0.069400,-0.009300,0.100000,0.200000,0.145900,0.519655,0.515581,0.521986,0.544342
2015-02-03,2050.030000,-0.415600,1.352000,0.474500,0.591900,0.203000,-0.058300,-0.012600,-0.080800,0.097900,0.200000,0.200000,-0.072630,0.489967,0.492169,0.493458,0.505341
