cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_logr,tf10,tf11
2000-02-29,1366.420000,0.934600,1.217900,0.320900,0.106100,0.210700,0.250600,-0.230900,-0.195900,-0.291200,0.020000,0.020000,0.221115,0.545340,0.546402,0.524059
2000-03-01,1379.189900,0.186300,1.134200,1.119500,0.474700,0.272800,0.331900,0.348700,-0.083700,-0.069400,0.030000,0.030000,0.137798,0.500479,0.500340,0.498341
2000-03-02,1381.760000,1.983700,0.555600,0.816700,0.884000,0.416100,0.258100,0.310700,0.328000,-0.053200,0.040000,0.030000,-0.056281,0.489174,0.491993,0.515110
2000-03-03,1409.170000,-1.269500,1.074200,1.025200,1.103900,1.101200,0.678300,0.506500,0.521400,0.513500,0.050000,0.030000,0.025147,0.507594,0.512070,0.503284
2000-03-06,1391.280000,-2.563100,0.339900,0.289100,0.447000,0.624000,0.699900,0.393900,0.279000,0.317400,0.010000,0.030000,0.120175,0.495986,0.494493,0.476900
2000-03-07,1355.620000,0.817300,-1.949500,-0.629000,-0.425600,-0.156100,0.091400,0.231100,0.020000,-0.041200,0.020000,0.030000,-0.003734,0.447334,0.446123,0.457900
2000-03-08,1366.700000,2.560200,-0.902900,-1.032400,-0.272700,-0.180900,0.003400,0.193300,0.303100,0.107600,0.030000,0.030000,-0.018181,0.485817,0.487514,0.484568
2000-03-09,1401.689900,-0.472300,1.664100,0.252400,-0.135600,0.287800,0.270900,0.364200,0.485300,0.551100,0.040000,0.030000,0.195600,0.517229,0.520194,0.498215
2000-03-10,1395.069900,-0.820700,1.014400,0.947500,0.068700,-0.204000,0.160000,0.163700,0.258600,0.377800,0.050000,0.030000,0.075557,0.474977,0.477720,0.499483
2000-03-13,1383.620000,-1.768500,-0.650300,0.404700,0.504800,-0.111000,-0.308100,0.019200,0.040000,0.138000,0.010000,0.030000,-0.094982,0.474682,0.472354,0.511698
2000-03-14,1359.150000,2.427300,-1.309600,-1.028100,-0.136300,0.051100,-0.388900,-0.518200,-0.204400,-0.161000,0.020000,0.030000,0.000866,0.531927,0.533446,0.525459
2000-03-15,1392.140000,4.764600,0.309700,-0.070900,-0.172700,0.367000,0.440100,0.008900,-0.154200,0.083300,0.030000,0.030000,0.229374,0.526061,0.527310,0.487130
2000-03-16,1458.470000,0.411400,3.484200,1.778000,1.133500,0.812500,1.093800,1.054100,0.604600,0.394300,0.040000,0.030000,0.205044,0.513327,0.515046,0.490322
