cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_logr,tf10,tf11,tf12
2012-01-03,1277.060100,0.018800,0.553900,0.722000,0.230400,0.185800,0.304300,0.377500,0.354900,0.633600,0.200000,0.100000,-0.058130,0.467524,0.468779,0.469253,0.443983
2012-01-04,1277.300000,0.294400,0.771200,0.374600,0.545000,0.187700,0.157700,0.263100,0.332200,0.317100,0.300000,0.100000,-0.069555,0.488296,0.488438,0.478057,0.484264
2012-01-05,1281.060100,-0.253700,0.156400,0.611700,0.354200,0.494300,0.205500,0.177300,0.267000,0.327800,0.400000,0.100000,-0.034738,0.510066,0.510360,0.520828,0.506334
2012-01-06,1277.810100,0.226200,0.019900,0.019600,0.395300,0.232200,0.369000,0.139400,0.123000,0.208600,0.500000,0.100000,0.009932,0.532917,0.530873,0.520350,0.533539
2012-01-09,1280.700000,0.888600,-0.014100,0.088500,0.071100,0.361300,0.231100,0.348400,0.150200,0.134500,0.100000,0.100000,-0.012971,0.495513,0.499237,0.507195,0.490910
2012-01-10,1292.080000,0.031000,0.554600,0.286200,0.288000,0.234400,0.448600,0.324900,0.415800,0.232600,0.200000,0.100000,0.003766,0.490800,0.488656,0.485184,0.477986
2012-01-11,1292.480000,0.233700,0.455800,0.379500,0.222000,0.236300,0.200200,0.388500,0.287800,0.372600,0.300000,0.100000,-0.079910,0.482165,0.484738,0.486349,0.474834
2012-01-12,1295.500000,-0.494800,0.132200,0.381400,0.342800,0.224300,0.235800,0.205000,0.368900,0.281700,0.400000,0.100000,0.005625,0.508676,0.506925,0.505487,0.502546
2012-01-13,1289.090000,0.355300,-0.131200,-0.077100,0.162300,0.174900,0.103900,0.130900,0.117000,0.272300,0.500000,0.100000,-0.023974,0.522376,0.522953,0.520648,0.532102
2012-01-17,1293.670000,1.110800,-0.070900,0.030700,0.030800,0.200700,0.204800,0.139800,0.158900,0.143400,0.200000,0.100000,0.037860,0.510062,0.510093,0.513832,0.510888
2012-01-18,1308.040000,0.493900,0.728400,0.322300,0.300000,0.246300,0.351800,0.334000,0.261200,0.264800,0.300000,0.100000,-0.063439,0.489889,0.490179,0.487143,0.489239
2012-01-19,1314.500000,0.066900,0.794300,0.648800,0.365000,0.338700,0.287700,0.372000,0.353900,0.287200,0.400000,0.100000,-0.093479,0.486804,0.487529,0.491504,0.487597
2012-01-20,1315.380000,0.047100,0.279100,0.551300,0.502500,0.304900,0.293000,0.255800,0.333400,0.321600,0.500000,0.100000,-0.032296,0.511066,0.509859,0.506585,0.510041
2012-01-23,1316.000000,-0.102600,0.057000,0.201700,0.425000,0.411000,0.261600,0.257600,0.229500,0.301300,0.100000,0.100000,0.001018,0.500211,0.501728,0.499349,0.483292
2012-01-24,1314.650000,0.867900,-0.027700,0.003800,0.125700,0.319400,0.325100,0.209300,0.212200,0.192300,0.200000,0.100000,0.026378,0.509632,0.509424,0.512155,0.507531
2012-01-25,1326.060100,-0.575400,0.381000,0.269900,0.219300,0.273600,0.410300,0.402400,0.291700,0.285200,0.300000,0.100000,-0.039863,0.492917,0.493570,0.493105,0.491655
2012-01-26,1318.430100,-0.159300,0.142900,0.061400,0.057800,0.059600,0.131400,0.268700,0.279300,0.194400,0.400000,0.100000,-0.023129,0.501017,0.501491,0.501291,0.504993
2012-01-27,1316.330000,-0.252200,-0.369300,0.042400,0.006300,0.014400,0.023100,0.089900,0.215200,0.230400,0.500000,0.100000,0.028847,0.521664,0.520968,0.522202,0.525024
2012-01-30,1313.010000,-0.045700,-0.206100,-0.330600,-0.031100,-0.045400,-0.030000,-0.016200,0.047200,0.163300,0.100000,0.100000,0.061675,0.510149,0.510634,0.504920,0.512700
2012-01-31,1312.410000,0.890000,-0.149300,-0.152700,-0.259500,-0.034000,-0.045400,-0.032200,-0.019800,0.036900,0.200000,0.100000,0.049947,0.513446,0.514306,0.520435,0.520721
